Borough,VM1,VM2,VM3,VM4,VM5,VM6,VM7,PU5,PO75,ENG,RENT,BAME,TEMP,VM1_q,VM2_q,VM3_q,VM4_q,VM5_q,VM6_q,PU5_q,PO75_q,ENG_q,RENT_q,BAME_q,TEMP_q,VM7_q,LSOA11CD,LSOA11NM,PM25_pct,NO2_pct,Poll_Index,Poll_q
Croydon,6.014492753623188,17.369000000000000,9.741379737854004,21.071550369262695,0.007398700849836,21.633312130284061,100,5.920000000000000,7.190000000000000,0.780000000000000,2.870000000000000,28.559999999999999,17.873229908219336,1,3,1,1,3,5,3,4,1,1,1,2,5.000,E01001024,Croydon 043B,0.159090909090909,0.104545454545455,0.131818181818182,1.000000000000000
Croydon,4.012345679012346,13.519000000000000,9.684950828552246,20.928949356079102,0.008532794809189,42.253896509722409,100,6.880000000000000,8.140000000000002,1.320000000000000,3.030000000000000,24.430000000000000,17.988986079656591,1,3,1,1,3,2,4,4,2,1,1,2,5.000,E01001025,Croydon 043C,0.122727272727273,0.068181818181818,0.095454545454545,1.000000000000000
Croydon,10.987849973586899,16.352000000000000,9.481477737426758,19.915050506591797,0.008388030494242,37.678850035086761,100,7.770000000000000,5.850000000000000,0.560000000000000,17.559999999999999,23.539999999999999,18.040040731764833,3,3,1,1,3,3,5,3,1,4,1,3,5.000,E01001026,Croydon 043D,0.022727272727273,0.018181818181818,0.020454545454545,1.000000000000000
Croydon,5.995055624227442,19.065999999999999,11.146559715270996,29.914930343627930,0.001799916321813,46.439632230593254,100,9.699999999999999,3.840000000000000,0.510000000000000,7.480000000000000,41.030000000000001,17.835510412882222,1,2,5,5,1,2,5,2,1,2,2,2,5.000,E01001027,Croydon 043E,0.859090909090909,0.840909090909091,0.850000000000000,5.000000000000000
Croydon,3.022508038585209,23.337000000000000,13.831839561462402,47.177101135253906,0.003082048306727,35.242254945157917,100,3.920000000000000,11.400000000000000,0.810000000000000,0.740000000000000,49.299999999999997,17.817321482904468,1,2,5,5,1,3,1,5,1,1,3,2,5.000,E01001028,Croydon 038A,0.977272727272727,0.981818181818182,0.979545454545454,5.000000000000000
Croydon,8.014142604596348,20.430000000000000,10.542340278625488,26.946460723876953,0.004258550743384,41.349177454944915,100,6.400000000000000,11.230000000000000,2.120000000000000,7.550000000000000,45.500000000000000,17.817321482904468,2,2,4,4,1,3,3,5,3,2,3,2,5.000,E01001029,Croydon 038B,0.677272727272727,0.754545454545455,0.715909090909091,4.000000000000000
Croydon,3.977272727272727,25.318999999999999,9.767919540405273,21.698940277099609,0.007713160974267,19.914110365211261,100,5.170000000000000,8.130000000000004,0.990000000000000,1.420000000000000,47.180000000000000,17.873229908219336,1,2,1,1,3,5,2,4,2,1,3,2,5.000,E01001030,Croydon 038C,0.177272727272727,0.172727272727273,0.175000000000000,1.000000000000000
Croydon,2.999318336741650,18.234000000000002,9.585225105285645,20.622039794921875,0.004262489995690,41.349177454944915,100,4.920000000000000,6.900000000000000,1.280000000000000,0.970000000000000,33.890000000000001,17.873229908219336,1,2,1,1,1,3,1,4,2,1,1,2,5.000,E01001031,Croydon 038D,0.050000000000000,0.050000000000000,0.050000000000000,1.000000000000000
Croydon,2.033898305084746,44.052000000000000,9.795455932617188,21.891609191894531,0.005693630242849,41.349177454944915,0,5.200000000000000,12.270000000000000,0.330000000000000,0.720000000000000,32.200000000000003,17.769683366100921,1,1,1,1,2,3,2,5,1,1,1,1,1.000,E01001032,Croydon 035A,0.190909090909091,0.186363636363636,0.188636363636364,1.000000000000000
Croydon,6.987399770904926,13.952999999999999,10.004460334777832,23.180360794067383,0.009690760098879,41.349177454944915,100,7.620000000000000,5.040000000000000,2.780000000000000,9.779999999999999,42.820000000000000,17.954383753167015,2,3,2,2,3,3,5,3,3,3,2,2,5.000,E01001033,Croydon 031A,0.272727272727273,0.268181818181818,0.270454545454545,2.000000000000000
